url,label
https://www.loinmvdk.edu,safe
https://www.mgssmglf.net,safe
youtube.com/watch?v=tPvxQ5cSeZQ,malicious
https://www.afmkfryg.net,safe
https://www.iddaldjb.edu,safe
https://www.esmpmjxl.edu,safe
https://www.ngaopgum.net,safe
https://www.bnssfiax.gov,safe
https://www.cghamfph.edu,safe
https://www.yuyumuli.org,safe
511contracosta.org/caldecott-tunnel-progress-update-8/,malicious
archives.cnn.com/2000/TECH/computing/05/05/open.source.smugglers.idg/,malicious
ifc.com/news/french-film/,malicious
restaurants.com/nevada/mesquite/,malicious
palkainjhuki.com,malicious
https://www.rdluscyb.org,safe
slashfilm.com/tv-bits-ringer-suburgatory-revenge-full-season-orders-disney-channel-greenlights-musical-zombie-sitcom-tricia-helfer-star-k9-pilot/,malicious
http://aksniwka.com/redakcja/podstrona-systemowa/76-piata-liga.1,malicious
https://www.itypqlpb.org,safe
https://www.llnofxct.com,safe
https://www.yisgaera.com,safe
district1acbl.org/Events/2009/2009_Quebec.htm,malicious
https://www.rompvcgc.gov,safe
http://www.dovehouse.us/component/content/article/37-content/86-privacy-policy,malicious
www.vosges.com/english/index.asp,malicious
mads.cbssports.com/mac-ad?celt=ifc&SP=110&POS=100&SITE=175&BRAND=59&NCAT=22051:22126:&NODE=22126&PTYPE=2001&PGUID=TsqWhQq0GZ4AAH1kSts&DVAR_USER=anon&STAGING=0,malicious
https://www.wloiwglv.org,safe
https://www.xvzjyrih.org,safe
https://www.lwbpsrtj.com,safe
http://torcache.net/torrent/16CFF1F484DE83E44B082960683C6BF3A90FD5AE.torrent?title=[kickass.to]the.official.uk.top.40.singles.chart.10th.may.2015.mp3.320.kbps.tx,malicious
https://www.qdqyotad.gov,safe
https://www.jjnblgkv.com,safe
tools.ietf.org/html/rfc1006,malicious
http://tobogo.net/cdsb/board.php?board=notice&bm=view&no=64&category=&auth=&page=1&search=&keyword=&recom=,malicious
oregonlive.com/sports/oregonian/john_canzano/index.ssf/2011/09/bald-faced_truth_with_john_can_75.html,malicious
